,detector,text_id,score,fp,pp
71,GPT2Detector,grs_fp_0.0_1.4_res_1,0.9998162388801576,0.0,1.4
72,GPT2Detector,grs_fp_0.0_1.4_res_2,0.0016827583312988,0.0,1.4
73,GPT2Detector,grs_fp_0.0_1.4_res_4,0.9998273253440856,0.0,1.4
74,GPT2Detector,grs_fp_0.0_1.4_res_3,0.9923669695854188,0.0,1.4
75,GPT2Detector,grs_fp_0.0_1.5_res_0,0.999777853488922,0.0,1.5
76,GPT2Detector,grs_fp_0.0_1.5_res_1,0.9904420971870422,0.0,1.5
77,GPT2Detector,grs_fp_0.0_1.5_res_2,0.9998255372047424,0.0,1.5
78,GPT2Detector,grs_fp_0.0_1.5_res_3,0.9845313429832458,0.0,1.5
79,GPT2Detector,grs_fp_0.0_1.5_res_4,0.99978369474411,0.0,1.5
80,GPT2Detector,grs_fp_0.0_1.6_res_0,0.9998199343681335,0.0,1.6
81,GPT2Detector,grs_fp_0.0_1.6_res_3,0.9995400905609132,0.0,1.6
82,GPT2Detector,grs_fp_0.0_1.6_res_2,0.127212107181549,0.0,1.6
83,GPT2Detector,grs_fp_0.0_1.6_res_1,0.9990118741989136,0.0,1.6
84,GPT2Detector,grs_fp_0.0_1.6_res_4,0.0252246260643005,0.0,1.6
85,GPT2Detector,grs_fp_0.0_1.7_res_0,0.9989929795265198,0.0,1.7
86,GPT2Detector,grs_fp_0.0_1.7_res_1,0.3732764720916748,0.0,1.7
87,GPT2Detector,grs_fp_0.0_1.7_res_2,0.4359888434410095,0.0,1.7
88,GPT2Detector,grs_fp_0.0_1.7_res_3,0.0011414289474487,0.0,1.7
89,GPT2Detector,grs_fp_0.0_1.8_res_1,0.99981290102005,0.0,1.8
90,GPT2Detector,grs_fp_0.0_1.8_res_4,0.954804539680481,0.0,1.8
91,GPT2Detector,grs_fp_0.0_1.7_res_4,0.9989782571792604,0.0,1.7
92,GPT2Detector,grs_fp_0.0_1.8_res_0,0.9998210072517396,0.0,1.8
93,GPT2Detector,grs_fp_0.0_1.8_res_3,0.9998252987861632,0.0,1.8
94,GPT2Detector,grs_fp_0.0_1.8_res_2,0.9979574680328368,0.0,1.8
95,GPT2Detector,grs_fp_0.0_1.9_res_0,0.9998257756233216,0.0,1.9
96,GPT2Detector,grs_fp_0.0_1.9_res_1,0.1998170018196106,0.0,1.9
97,GPT2Detector,grs_fp_0.0_1.9_res_2,0.0001709461212158,0.0,1.9
98,GPT2Detector,grs_fp_0.0_1.9_res_4,0.9996389150619508,0.0,1.9
99,GPT2Detector,grs_fp_0.0_2.0_res_0,0.1947998404502868,0.0,2.0
100,GPT2Detector,grs_fp_0.0_1.9_res_3,0.2078096866607666,0.0,1.9
101,GPT2Detector,grs_fp_0.0_2.0_res_1,0.8965762853622437,0.0,2.0
102,GPT2Detector,grs_fp_0.1_0.0_res_0,0.9998252987861632,0.1,0.0
103,GPT2Detector,grs_fp_0.0_2.0_res_2,0.0010428428649902,0.0,2.0
104,GPT2Detector,grs_fp_0.0_2.0_res_3,0.0052255988121032,0.0,2.0
105,GPT2Detector,grs_fp_0.0_2.0_res_4,0.9975419044494628,0.0,2.0
106,GPT2Detector,grs_fp_0.1_0.0_res_1,0.9998236298561096,0.1,0.0
107,GPT2Detector,grs_fp_0.1_0.0_res_2,0.9998260140419006,0.1,0.0
108,GPT2Detector,grs_fp_0.1_0.0_res_3,0.9998270869255066,0.1,0.0
109,GPT2Detector,grs_fp_0.1_0.0_res_4,0.9998036026954652,0.1,0.0
110,GPT2Detector,grs_fp_0.1_0.1_res_2,0.4466252326965332,0.1,0.1
111,GPT2Detector,grs_fp_0.1_0.1_res_0,0.9998183846473694,0.1,0.1
112,GPT2Detector,grs_fp_0.1_0.1_res_1,0.9808974862098694,0.1,0.1
113,GPT2Detector,grs_fp_0.1_0.1_res_4,0.999771535396576,0.1,0.1
114,GPT2Detector,grs_fp_0.1_0.1_res_3,0.0529994964599609,0.1,0.1
115,GPT2Detector,grs_fp_0.1_0.2_res_0,0.999782383441925,0.1,0.2
116,GPT2Detector,grs_fp_0.1_0.2_res_1,0.0123385190963745,0.1,0.2
117,GPT2Detector,grs_fp_0.1_0.2_res_3,0.999827206134796,0.1,0.2
118,GPT2Detector,grs_fp_0.1_0.2_res_2,0.5194942951202393,0.1,0.2
119,GPT2Detector,grs_fp_0.1_0.2_res_4,0.999821960926056,0.1,0.2
120,GPT2Detector,grs_fp_0.1_0.3_res_0,0.9998020529747008,0.1,0.3
121,GPT2Detector,grs_fp_0.1_0.3_res_1,0.9998008608818054,0.1,0.3
122,GPT2Detector,grs_fp_0.1_0.3_res_2,0.9997486472129822,0.1,0.3
123,GPT2Detector,grs_fp_0.1_0.3_res_3,0.9998098015785216,0.1,0.3
124,GPT2Detector,grs_fp_0.1_0.3_res_4,0.999813973903656,0.1,0.3
125,GPT2Detector,grs_fp_0.1_0.4_res_0,0.9959457516670228,0.1,0.4
126,GPT2Detector,grs_fp_0.1_0.4_res_2,0.9998041987419128,0.1,0.4
127,GPT2Detector,grs_fp_0.1_0.4_res_1,0.999786913394928,0.1,0.4
128,GPT2Detector,grs_fp_0.1_0.4_res_3,0.9998237490653992,0.1,0.4
129,GPT2Detector,grs_fp_0.1_0.4_res_4,0.9997872710227966,0.1,0.4
130,GPT2Detector,grs_fp_0.1_0.5_res_0,0.9995070695877076,0.1,0.5
131,GPT2Detector,grs_fp_0.1_0.5_res_1,0.9996713399887084,0.1,0.5
132,GPT2Detector,grs_fp_0.1_0.6_res_1,0.7669346332550049,0.1,0.6
133,GPT2Detector,grs_fp_0.1_0.5_res_2,0.9959322810173036,0.1,0.5
134,GPT2Detector,grs_fp_0.1_0.6_res_2,0.9997283816337584,0.1,0.6
135,GPT2Detector,grs_fp_0.1_0.5_res_4,0.9997950196266174,0.1,0.5
136,GPT2Detector,grs_fp_0.1_0.6_res_4,0.9998260140419006,0.1,0.6
137,GPT2Detector,grs_fp_0.1_0.6_res_0,0.9998030066490172,0.1,0.6
138,GPT2Detector,grs_fp_0.1_0.6_res_3,0.9991874098777772,0.1,0.6
139,GPT2Detector,grs_fp_0.1_0.5_res_3,0.9998036026954652,0.1,0.5
140,GPT2Detector,grs_fp_0.1_0.7_res_0,0.9998255372047424,0.1,0.7
141,GPT2Detector,grs_fp_0.1_0.7_res_2,0.9998185038566588,0.1,0.7
142,GPT2Detector,grs_fp_0.1_0.7_res_1,0.9998273849487304,0.1,0.7
143,GPT2Detector,grs_fp_0.1_0.8_res_1,0.9444405436515808,0.1,0.8
144,GPT2Detector,grs_fp_0.1_0.7_res_3,0.9971598386764526,0.1,0.7
145,GPT2Detector,grs_fp_0.1_0.7_res_4,0.9998270869255066,0.1,0.7
146,GPT2Detector,grs_fp_0.1_0.8_res_0,0.99982750415802,0.1,0.8
147,GPT2Detector,grs_fp_0.1_0.8_res_3,0.8664857745170593,0.1,0.8
148,GPT2Detector,grs_fp_0.1_0.8_res_2,0.9998270869255066,0.1,0.8
149,GPT2Detector,grs_fp_0.1_0.8_res_4,0.999826729297638,0.1,0.8
150,GPT2Detector,grs_fp_0.1_0.9_res_0,0.9998114705085754,0.1,0.9
151,GPT2Detector,grs_fp_0.1_0.9_res_1,0.8492541313171387,0.1,0.9
152,GPT2Detector,grs_fp_0.1_0.9_res_3,0.9998220801353456,0.1,0.9
153,GPT2Detector,grs_fp_0.1_0.9_res_2,0.3531394600868225,0.1,0.9
154,GPT2Detector,grs_fp_0.1_0.9_res_4,0.999827206134796,0.1,0.9
155,GPT2Detector,grs_fp_0.1_1.0_res_0,0.9998207688331604,0.1,1.0
156,GPT2Detector,grs_fp_0.1_1.0_res_2,0.000311255455017,0.1,1.0
157,GPT2Detector,grs_fp_0.1_1.0_res_1,0.9998226761817932,0.1,1.0
158,GPT2Detector,grs_fp_0.1_1.1_res_0,0.3514072299003601,0.1,1.1
159,GPT2Detector,grs_fp_0.1_1.0_res_3,0.0002745985984802,0.1,1.0
160,GPT2Detector,grs_fp_0.1_1.0_res_4,0.999804675579071,0.1,1.0
161,GPT2Detector,grs_fp_0.1_1.1_res_1,0.9953755140304564,0.1,1.1
162,GPT2Detector,grs_fp_0.1_1.1_res_2,0.999734103679657,0.1,1.1
163,GPT2Detector,grs_fp_0.1_1.2_res_1,0.9998149275779724,0.1,1.2
164,GPT2Detector,grs_fp_0.1_1.1_res_3,0.9836618304252625,0.1,1.1
165,GPT2Detector,grs_fp_0.1_1.2_res_0,0.9997894167900084,0.1,1.2
166,GPT2Detector,grs_fp_0.1_1.2_res_3,0.9997739195823668,0.1,1.2
167,GPT2Detector,grs_fp_0.1_1.1_res_4,0.999805748462677,0.1,1.1
168,GPT2Detector,grs_fp_0.1_1.2_res_2,0.999311089515686,0.1,1.2
