detector,text_id,score
GPT2Detector,grs_fp_0.0_0.1_res_4,0.9998084902763367
GPT2Detector,grs_fp_0.0_0.1_res_0,0.9997938275337219
GPT2Detector,grs_fp_0.0_0.1_res_1,0.9998255372047424
GPT2Detector,grs_fp_0.0_0.1_res_2,0.9998056292533875
GPT2Detector,grs_fp_0.0_0.0_res_2,0.9808016419410706
GPT2Detector,grs_fp_0.0_0.0_res_1,0.9998024106025696
GPT2Detector,grs_fp_0.0_0.0_res_3,0.9998171925544739
GPT2Detector,grs_fp_0.0_0.1_res_3,0.9998103976249695
GPT2Detector,grs_fp_0.0_0.0_res_4,0.9998133778572083
GPT2Detector,grs_fp_0.0_0.0_res_0,0.9998230338096619
GPT2Detector,grs_fp_0.0_0.2_res_0,0.9998044371604919
GPT2Detector,grs_fp_0.0_0.2_res_1,0.02586585283279419
GPT2Detector,grs_fp_0.0_0.2_res_2,0.9997790455818176
GPT2Detector,grs_fp_0.0_0.2_res_3,0.9992594122886658
GPT2Detector,grs_fp_0.0_0.2_res_4,0.9998156428337097
GPT2Detector,grs_fp_0.0_0.3_res_2,0.9978682994842529
GPT2Detector,grs_fp_0.0_0.3_res_1,0.08097594976425171
GPT2Detector,grs_fp_0.0_0.3_res_4,0.9998273253440857
GPT2Detector,grs_fp_0.0_0.3_res_0,0.999798595905304
GPT2Detector,grs_fp_0.0_0.3_res_3,0.0005685687065124512
GPT2Detector,grs_fp_0.0_0.4_res_1,0.9997294545173645
GPT2Detector,grs_fp_0.0_0.4_res_0,0.9998099207878113
GPT2Detector,grs_fp_0.0_0.4_res_2,0.9998164772987366
GPT2Detector,grs_fp_0.0_0.4_res_3,0.9996702671051025
GPT2Detector,grs_fp_0.0_0.5_res_0,0.9998102784156799
GPT2Detector,grs_fp_0.0_0.4_res_4,0.999805748462677
GPT2Detector,grs_fp_0.0_0.5_res_2,0.9953303337097168
GPT2Detector,grs_fp_0.0_0.5_res_1,0.533969521522522
GPT2Detector,grs_fp_0.0_0.5_res_4,0.9998020529747009
GPT2Detector,grs_fp_0.0_0.5_res_3,0.9998145699501038
GPT2Detector,grs_fp_0.0_0.6_res_0,0.9998260140419006
GPT2Detector,grs_fp_0.0_0.6_res_1,0.9998010993003845
GPT2Detector,grs_fp_0.0_0.6_res_2,0.9998264908790588
GPT2Detector,grs_fp_0.0_0.6_res_3,0.10306823253631592
GPT2Detector,grs_fp_0.0_0.6_res_4,0.9997791647911072
GPT2Detector,grs_fp_0.0_0.7_res_0,0.9998014569282532
GPT2Detector,grs_fp_0.0_0.7_res_2,0.9998180270195007
GPT2Detector,grs_fp_0.0_0.7_res_1,0.999303936958313
GPT2Detector,grs_fp_0.0_0.8_res_0,0.9998027682304382
GPT2Detector,grs_fp_0.0_0.8_res_1,0.9998201727867126
GPT2Detector,grs_fp_0.0_0.7_res_3,0.9998039603233337
GPT2Detector,grs_fp_0.0_0.7_res_4,0.9998241066932678
GPT2Detector,grs_fp_0.0_0.8_res_2,0.9998237490653992
GPT2Detector,grs_fp_0.0_0.8_res_3,0.00446319580078125
GPT2Detector,grs_fp_0.0_0.8_res_4,0.9998142123222351
GPT2Detector,grs_fp_0.0_0.9_res_3,0.048172593116760254
GPT2Detector,grs_fp_0.0_0.9_res_4,0.016861915588378906
GPT2Detector,grs_fp_0.0_0.9_res_0,0.9994020462036133
GPT2Detector,grs_fp_0.0_1.0_res_2,0.7794238328933716
GPT2Detector,grs_fp_0.0_0.9_res_2,0.9725024700164795
GPT2Detector,grs_fp_0.0_0.9_res_1,0.9991893172264099
GPT2Detector,grs_fp_0.0_1.0_res_1,0.9964015483856201
GPT2Detector,grs_fp_0.0_1.0_res_0,0.9997485280036926
GPT2Detector,grs_fp_0.0_1.1_res_1,0.9956218600273132
GPT2Detector,grs_fp_0.0_1.1_res_0,0.9995526671409607
GPT2Detector,grs_fp_0.0_1.0_res_3,0.4978882074356079
GPT2Detector,grs_fp_0.0_1.0_res_4,0.999189555644989
GPT2Detector,grs_fp_0.0_1.1_res_3,0.009561359882354736
