parameter name,detector,parameter value,score
temp,CopyLeaks,-0.0,1.0
temp,CopyLeaks,0.1,1.0
temp,CopyLeaks,0.2,1.0
temp,CopyLeaks,0.3,1.0
temp,CopyLeaks,0.4,1.0
temp,CopyLeaks,0.5,1.0
temp,CopyLeaks,0.6,1.0
temp,CopyLeaks,0.7,1.0
temp,CopyLeaks,0.8,1.0
temp,CopyLeaks,0.9,1.0
temp,CopyLeaks,1.0,1.0
temp,CopyLeaks,1.1,1.0
temp,CopyLeaks,1.2,1.0
temp,CopyLeaks,1.3,1.0
temp,CopyLeaks,1.4,1.0
temp,CopyLeaks,1.5,1.0
temp,GPT2Detector,-0.0,0.9997986793518067
temp,GPT2Detector,0.1,0.9997848391532898
temp,GPT2Detector,0.2,0.9735584259033203
temp,GPT2Detector,0.3,0.9998045325279236
temp,GPT2Detector,0.4,0.9998108267784118
temp,GPT2Detector,0.5,0.9998111605644227
temp,GPT2Detector,0.6,0.9998027920722962
temp,GPT2Detector,0.7,0.9953859448432922
temp,GPT2Detector,0.8,0.9998107314109802
temp,GPT2Detector,0.9,0.9997988343238831
temp,GPT2Detector,1.0,0.9970050096511841
temp,GPT2Detector,1.1,0.8433392167091369
temp,GPT2Detector,1.2,0.7063392519950866
temp,GPT2Detector,1.3,0.9558142781257629
temp,GPT2Detector,1.4,0.44843249320983886
temp,GPT2Detector,1.5,0.44398547410964967
temp,GPTZero,-0.0,0.9802997249449081
temp,GPTZero,0.1,0.9951678752394878
temp,GPTZero,0.2,0.9977558223168834
temp,GPTZero,0.3,0.9945829854801069
temp,GPTZero,0.4,0.9738937645764038
temp,GPTZero,0.5,0.9742632174011764
temp,GPTZero,0.6,0.9977644975476313
temp,GPTZero,0.7,0.9916843816957714
temp,GPTZero,0.8,0.9741932923115953
temp,GPTZero,0.9,0.9803338957494496
temp,GPTZero,1.0,0.9642620153098885
temp,GPTZero,1.1,0.9408446866491402
temp,GPTZero,1.2,0.9551126481819638
temp,GPTZero,1.3,0.9885835945555017
temp,GPTZero,1.4,0.9748740301315578
temp,GPTZero,1.5,0.9712023822845136
temp,Radar,-0.0,0.9714542269706726
temp,Radar,0.1,0.9670021295547485
temp,Radar,0.2,0.9713354587554932
temp,Radar,0.3,0.965104341506958
temp,Radar,0.4,0.9746418237686157
temp,Radar,0.5,0.9682292342185974
temp,Radar,0.6,0.9708809733390809
temp,Radar,0.7,0.9718775868415832
temp,Radar,0.8,0.9626102685928345
temp,Radar,0.9,0.9435094833374024
temp,Radar,1.0,0.9717685580253601
temp,Radar,1.1,0.9666513323783874
temp,Radar,1.2,0.9343037843704224
temp,Radar,1.3,0.9202584505081177
temp,Radar,1.4,0.9049019932746887
temp,Radar,1.5,0.8966375589370728
topp,CopyLeaks,-0.0,1.0
topp,CopyLeaks,0.1,1.0
topp,CopyLeaks,0.2,1.0
topp,CopyLeaks,0.3,1.0
topp,CopyLeaks,0.4,1.0
topp,CopyLeaks,0.5,1.0
topp,CopyLeaks,0.6,1.0
topp,CopyLeaks,0.7,1.0
topp,CopyLeaks,0.8,1.0
topp,CopyLeaks,0.9,1.0
topp,CopyLeaks,1.0,1.0
topp,GPT2Detector,-0.0,0.9954729557037354
topp,GPT2Detector,0.1,0.9590394973754883
topp,GPT2Detector,0.2,0.9997834205627442
topp,GPT2Detector,0.3,0.998772382736206
topp,GPT2Detector,0.4,0.8005872368812561
topp,GPT2Detector,0.5,0.9995850801467896
topp,GPT2Detector,0.6,0.8724630951881409
topp,GPT2Detector,0.7,0.9997954964637756
topp,GPT2Detector,0.8,0.9997130990028381
topp,GPT2Detector,0.9,0.9998143315315247
topp,GPT2Detector,1.0,0.8972875714302063
topp,GPTZero,-0.0,0.9504372063842241
topp,GPTZero,0.1,0.9946254209569048
topp,GPTZero,0.2,0.998132608157
topp,GPTZero,0.3,0.9619834050853768
topp,GPTZero,0.4,0.9916123319992647
topp,GPTZero,0.5,0.9972642643950284
topp,GPTZero,0.6,0.9627310186044762
topp,GPTZero,0.7,0.9915886383428859
topp,GPTZero,0.8,0.9774701145932413
topp,GPTZero,0.9,0.9598072162327902
topp,GPTZero,1.0,0.9976837726203767
topp,Radar,-0.0,0.9569665670394898
topp,Radar,0.1,0.9725707054138184
topp,Radar,0.2,0.9694767713546752
topp,Radar,0.3,0.9767308831214905
topp,Radar,0.4,0.9771001458168029
topp,Radar,0.5,0.9597126483917237
topp,Radar,0.6,0.969063150882721
topp,Radar,0.7,0.9755324840545654
topp,Radar,0.8,0.9722897410392761
topp,Radar,0.9,0.9637484669685363
topp,Radar,1.0,0.9232796907424927
