detector,text_id,score,parameter name,parameter value
GPTZero,fp_0.8_res_2,0.8223915592028135,fp,0.8
GPTZero,fp_0.8_res_3,0.6761725657506947,fp,0.8
GPTZero,fp_1.0_res_0,0.4030438205195487,fp,1.0
GPTZero,fp_1.0_res_3,0.4312740666331827,fp,1.0
GPTZero,fp_1.0_res_2,0.6330536555118492,fp,1.0
GPTZero,fp_1.0_res_1,1.0,fp,1.0
GPTZero,fp_1.0_res_4,0.4372759856630824,fp,1.0
GPTZero,fp_1.2_res_0,0.3902439024390244,fp,1.2
GPTZero,fp_1.2_res_2,0.3559283199179716,fp,1.2
GPTZero,fp_1.2_res_4,0.4030438205195487,fp,1.2
GPTZero,fp_1.2_res_1,0.3230191378808282,fp,1.2
GPTZero,fp_1.4_res_0,0.1051752921535893,fp,1.4
GPTZero,fp_1.2_res_3,0.5548272588068698,fp,1.2
GPTZero,fp_1.4_res_2,0.4318090154720122,fp,1.4
GPTZero,fp_1.4_res_1,0.1761040393252156,fp,1.4
GPTZero,fp_1.4_res_3,0.3145331125860661,fp,1.4
GPTZero,fp_1.4_res_4,0.3292891367087898,fp,1.4
GPTZero,fp_1.6_res_0,0.4048993503035467,fp,1.6
GPTZero,fp_1.6_res_1,0.1776615488442719,fp,1.6
GPTZero,fp_1.6_res_2,0.1739459904728821,fp,1.6
GPTZero,fp_1.6_res_3,0.4092626683460905,fp,1.6
GPTZero,fp_1.8_res_0,0.9004739336492892,fp,1.8
GPTZero,fp_1.6_res_4,0.3520387370607289,fp,1.6
GPTZero,fp_1.8_res_1,0.3516345459245676,fp,1.8
GPTZero,fp_2.0_res_0,0.3377089254671849,fp,2.0
GPTZero,fp_1.8_res_3,0.1683237610539548,fp,1.8
GPTZero,fp_1.8_res_4,0.1692571276148266,fp,1.8
GPTZero,fp_1.8_res_2,0.1796203529222259,fp,1.8
GPTZero,fp_2.0_res_1,0.352711666016387,fp,2.0
GPTZero,fp_2.0_res_2,0.1692571276148266,fp,2.0
GPTZero,fp_2.0_res_3,0.6718980470824237,fp,2.0
GPTZero,fp_2.0_res_4,0.1736026429653469,fp,2.0
GPTZero,pp_-0.0_res_0,0.9825825322814176,pp,-0.0
GPTZero,pp_-0.0_res_2,1.0,pp,-0.0
GPTZero,pp_-0.0_res_1,0.982251886615535,pp,-0.0
GPTZero,pp_-0.2_res_1,0.9977558223168834,pp,-0.2
GPTZero,pp_-0.2_res_2,1.0,pp,-0.2
GPTZero,pp_-0.0_res_3,0.9977558223168834,pp,-0.0
GPTZero,pp_-0.2_res_0,0.9977558223168834,pp,-0.2
GPTZero,pp_-0.0_res_4,0.9122259726882967,pp,-0.0
GPTZero,pp_-0.2_res_3,0.9977558223168834,pp,-0.2
GPTZero,pp_-0.2_res_4,0.982251886615535,pp,-0.2
GPTZero,pp_-0.4_res_1,0.9977558223168834,pp,-0.4
GPTZero,pp_-0.4_res_0,0.8223915592028135,pp,-0.4
GPTZero,pp_-0.4_res_2,0.850026591361927,pp,-0.4
GPTZero,pp_-0.4_res_3,0.982932157729323,pp,-0.4
GPTZero,pp_-0.4_res_4,0.9973955738343496,pp,-0.4
GPTZero,pp_-0.6_res_1,0.9977558223168834,pp,-0.6
GPTZero,pp_-0.6_res_0,0.9820821274401206,pp,-0.6
GPTZero,pp_-0.6_res_2,0.9122259726882967,pp,-0.6
GPTZero,pp_-0.6_res_3,0.9977558223168834,pp,-0.6
GPTZero,pp_-0.6_res_4,0.982932157729323,pp,-0.6
GPTZero,pp_-0.8_res_0,0.9973955738343496,pp,-0.8
GPTZero,pp_-0.8_res_3,0.9977558223168834,pp,-0.8
GPTZero,pp_-0.8_res_2,0.9977775103937532,pp,-0.8
GPTZero,pp_-0.8_res_1,0.9977558223168834,pp,-0.8
GPTZero,pp_-0.8_res_4,0.9825825322814176,pp,-0.8
GPTZero,pp_-1.0_res_0,0.9977558223168834,pp,-1.0
GPTZero,pp_-1.0_res_1,0.982251886615535,pp,-1.0
GPTZero,pp_-1.0_res_3,0.9977558223168834,pp,-1.0
GPTZero,pp_-1.0_res_2,0.982251886615535,pp,-1.0
GPTZero,pp_-1.0_res_4,0.9825825322814176,pp,-1.0
GPTZero,pp_0.2_res_0,0.9825825322814176,pp,0.2
GPTZero,pp_0.2_res_2,0.982932157729323,pp,0.2
GPTZero,pp_0.2_res_1,0.9039341262580056,pp,0.2
GPTZero,pp_0.2_res_3,0.9977775103937532,pp,0.2
GPTZero,pp_0.4_res_1,1.0,pp,0.4
GPTZero,pp_0.4_res_2,0.9851100744681244,pp,0.4
GPTZero,pp_0.4_res_0,0.9134421713662072,pp,0.4
GPTZero,pp_0.2_res_4,0.9825825322814176,pp,0.2
GPTZero,pp_0.4_res_3,0.9977558223168834,pp,0.4
GPTZero,pp_0.6_res_0,0.9977558223168834,pp,0.6
GPTZero,pp_0.4_res_4,0.9973955738343496,pp,0.4
GPTZero,pp_0.6_res_2,0.8238255803362468,pp,0.6
GPTZero,pp_0.6_res_1,0.9117773831485664,pp,0.6
GPTZero,pp_0.6_res_3,0.9973955738343496,pp,0.6
GPTZero,pp_0.6_res_4,0.9977558223168834,pp,0.6
GPTZero,pp_0.8_res_0,0.9977558223168834,pp,0.8
GPTZero,pp_0.8_res_1,0.9973955738343496,pp,0.8
GPTZero,pp_0.8_res_2,0.9825825322814176,pp,0.8
GPTZero,pp_1.0_res_0,0.9977558223168834,pp,1.0
GPTZero,pp_0.8_res_3,0.9977558223168834,pp,0.8
GPTZero,pp_0.8_res_4,0.9977775103937532,pp,0.8
