detector,text_id,score,parameter name,parameter value,category
GPT2Detector,fp_0.8_arg_2,0.7073906064033508,fp,0.8,arg
GPT2Detector,fp_0.8_arg_4,0.872649073600769,fp,0.8,arg
GPT2Detector,fp_0.8_res_0,0.9996795654296876,fp,0.8,res
GPT2Detector,fp_0.8_res_1,0.0003914237022399,fp,0.8,res
GPT2Detector,fp_0.8_res_2,0.0002074837684631,fp,0.8,res
GPT2Detector,fp_0.8_res_3,0.0003670454025268,fp,0.8,res
GPT2Detector,fp_0.8_res_4,0.9998206496238708,fp,0.8,res
GPT2Detector,fp_0.9_arg_0,0.0002512335777282,fp,0.9,arg
GPT2Detector,fp_0.9_arg_1,0.0003594160079956,fp,0.9,arg
GPT2Detector,fp_0.9_arg_4,0.6142991781234741,fp,0.9,arg
GPT2Detector,fp_0.9_arg_2,0.0001956820487976,fp,0.9,arg
GPT2Detector,fp_0.9_arg_3,0.0003310441970825,fp,0.9,arg
GPT2Detector,fp_0.9_res_0,0.0002306103706359,fp,0.9,res
GPT2Detector,fp_0.9_res_1,0.000190794467926,fp,0.9,res
GPT2Detector,fp_0.9_res_2,0.0002841353416442,fp,0.9,res
GPT2Detector,fp_0.9_res_3,0.0004829168319702,fp,0.9,res
GPT2Detector,fp_0.9_res_4,0.9858651161193848,fp,0.9,res
GPT2Detector,fp_1.0_arg_2,0.0002599358558654,fp,1.0,arg
GPT2Detector,fp_1.0_arg_0,0.000195562839508,fp,1.0,arg
GPT2Detector,fp_1.0_res_0,0.0001875758171081,fp,1.0,res
GPT2Detector,fp_1.0_arg_1,0.0003007650375366,fp,1.0,arg
GPT2Detector,fp_1.0_arg_3,0.0002427697181701,fp,1.0,arg
GPT2Detector,fp_1.0_arg_4,0.0003597736358642,fp,1.0,arg
GPT2Detector,fp_1.0_res_1,0.0003129243850708,fp,1.0,res
GPT2Detector,fp_1.0_res_2,0.000348687171936,fp,1.0,res
GPT2Detector,fp_1.0_res_3,0.0003615617752075,fp,1.0,res
GPT2Detector,fp_1.1_arg_0,0.0003306865692138,fp,1.1,arg
GPT2Detector,fp_1.0_res_4,0.0883826613426208,fp,1.0,res
GPT2Detector,fp_1.1_arg_2,0.0002422928810119,fp,1.1,arg
GPT2Detector,fp_1.1_arg_1,0.0001786351203918,fp,1.1,arg
GPT2Detector,fp_1.1_arg_4,0.0002533793449401,fp,1.1,arg
GPT2Detector,fp_1.1_arg_3,0.0003432035446166,fp,1.1,arg
GPT2Detector,fp_1.1_res_0,0.0002384781837463,fp,1.1,res
GPT2Detector,fp_1.1_res_1,0.0002636313438415,fp,1.1,res
GPT2Detector,fp_1.1_res_2,0.0001924633979797,fp,1.1,res
