detector,text_id,score,word count,average_sentence_length,sentence_length_variability,average_word_length,lexical_diversity
GPT2Detector,fp_0.0_res_0,0.9997972846031188,484,25.523809523809526,6.112438528272064,5.1138059701492535,0.3656716417910448
GPT2Detector,fp_0.0_res_4,0.9996023774147034,482,26.25,6.866202505177462,5.422857142857143,0.37523809523809526
GPT2Detector,fp_0.0_res_1,0.999823033809662,415,25.0,6.097251068164677,5.38,0.40444444444444444
GPT2Detector,fp_0.0_res_2,0.007766842842102,419,26.27777777777778,7.32285347433198,5.437632135306554,0.4608879492600423
GPT2Detector,fp_0.0_arg_2,0.9997962117195128,458,31.0625,7.141136697566664,4.788732394366197,0.3682092555331992
GPT2Detector,fp_0.0_arg_0,0.9998010993003844,489,25.61904761904762,5.508867310765349,5.174721189591078,0.3847583643122677
GPT2Detector,fp_0.0_res_3,0.9995429515838624,486,24.863636363636363,5.523072424324074,5.118829981718465,0.43144424131627057
GPT2Detector,fp_0.0_arg_3,0.9987449645996094,448,26.157894736842106,5.766408066405298,4.839034205231388,0.4124748490945674
GPT2Detector,fp_0.0_arg_4,0.999786913394928,492,25.045454545454547,6.365661397030557,5.252268602540835,0.3793103448275862
GPT2Detector,fp_0.0_arg_1,0.9989575147628784,443,21.166666666666668,5.873053177282529,5.391732283464567,0.3661417322834646
GPT2Detector,fp_0.1_arg_0,0.9992483258247375,479,23.0,4.935953440181174,5.0756143667296785,0.3572778827977316
GPT2Detector,fp_0.1_arg_1,0.6258034110069275,460,22.608695652173914,5.8677789698936085,5.15,0.4230769230769231
GPT2Detector,fp_0.1_arg_2,0.9998145699501038,486,24.181818181818183,3.9113554298607665,4.954887218045113,0.424812030075188
GPT2Detector,fp_0.1_res_0,0.9997971653938292,446,24.2,6.379242654273724,4.9152892561983474,0.3760330578512397
GPT2Detector,fp_0.1_arg_3,0.8997162580490112,465,27.05263157894737,9.05829076476061,5.04863813229572,0.42412451361867703
GPT2Detector,fp_0.1_res_1,0.9998111128807068,439,25.157894736842106,7.289742853982778,5.357740585774058,0.42887029288702927
GPT2Detector,fp_0.1_arg_4,0.999816358089447,466,23.363636363636363,4.2822496818450855,5.256809338521401,0.36964980544747084
GPT2Detector,fp_0.1_res_3,0.9969403743743896,478,25.952380952380953,4.674143669980529,5.222018348623854,0.44403669724770645
GPT2Detector,fp_0.1_res_2,0.9998185038566588,437,25.210526315789473,6.996657514432803,5.144050104384133,0.407098121085595
GPT2Detector,fp_0.1_res_4,0.9958815574645996,482,25.571428571428573,6.344851681256455,5.299813780260708,0.40782122905027934
GPT2Detector,fp_0.2_arg_0,0.9994441866874696,467,25.5,6.6530562822462915,5.0019607843137255,0.3607843137254902
GPT2Detector,fp_0.2_arg_1,0.9994264841079712,470,26.2,5.28752255189915,5.194656488549619,0.3988549618320611
GPT2Detector,fp_0.2_arg_2,0.9964160919189452,477,24.904761904761905,5.2144487906658155,5.017208413001912,0.4378585086042065
GPT2Detector,fp_0.2_arg_4,0.9998013377189636,467,28.166666666666668,7.987121987741193,5.353057199211046,0.33727810650887574
GPT2Detector,fp_0.2_arg_3,0.999816596508026,483,26.85,5.631443677667108,4.834264432029795,0.38361266294227186
GPT2Detector,fp_0.2_res_0,0.9998143315315248,448,23.714285714285715,5.3211169611544635,4.921686746987952,0.3895582329317269
GPT2Detector,fp_0.2_res_1,0.9859078526496888,458,25.1,8.1104221448961,5.51195219123506,0.40039840637450197
GPT2Detector,fp_0.2_res_2,0.999765694141388,416,25.166666666666668,6.2426427284679775,5.196467991169978,0.4856512141280353
GPT2Detector,fp_0.2_res_3,0.5101699233055115,473,25.19047619047619,6.233931725797513,5.187145557655954,0.48582230623818523
GPT2Detector,fp_0.2_res_4,0.9952087998390198,456,30.6875,7.516371021532487,5.215885947046843,0.45417515274949083
GPT2Detector,fp_0.3_arg_0,0.999816358089447,472,27.05263157894737,6.802562296750365,5.110894941634241,0.3968871595330739
GPT2Detector,fp_0.3_arg_1,0.1483224630355835,424,24.05,4.661996409942396,5.251559251559252,0.4490644490644491
GPT2Detector,fp_0.3_arg_2,0.9996473789215088,492,25.714285714285715,4.063777271736939,5.04074074074074,0.4703703703703704
GPT2Detector,fp_0.3_arg_3,0.0001857876777648,473,24.761904761904763,10.463769693111379,5.255769230769231,0.4826923076923077
GPT2Detector,fp_0.3_arg_4,0.1991353631019592,480,25.095238095238095,6.480005878892101,5.755218216318785,0.44212523719165087
