parameter name,detector,parameter value,category,score
pp,GPT2Detector,1.8,res,0.8079190850257874
pp,GPT2Detector,1.9,arg,0.760323452949524
pp,GPT2Detector,1.9,res,0.6794223546981811
pp,GPT2Detector,2.0,arg,0.8307220816612244
pp,GPT2Detector,2.0,res,0.6961455583572388
pp,GPTZero,0.0,arg,0.9976160605392439
pp,GPTZero,0.0,res,0.9479432245037274
pp,GPTZero,0.1,arg,0.9486204112351333
pp,GPTZero,0.1,res,0.9595865201691737
pp,GPTZero,0.2,arg,0.9464789850505777
pp,GPTZero,0.2,res,0.921596854017792
pp,GPTZero,0.3,arg,0.9139355339843037
pp,GPTZero,0.3,res,0.9811968771327184
pp,GPTZero,0.4,arg,0.9166094389594924
pp,GPTZero,0.4,res,0.9890440596073347
pp,GPTZero,0.5,arg,0.9282316244052563
pp,GPTZero,0.5,res,0.9952399249359946
pp,GPTZero,0.6,arg,0.9434412254701637
pp,GPTZero,0.6,res,0.972259186917906
pp,GPTZero,0.7,arg,0.9460945416367522
pp,GPTZero,0.7,res,0.9606064332654665
pp,GPTZero,0.8,arg,0.9915723885019689
pp,GPTZero,0.8,res,0.8732481530049421
pp,GPTZero,0.9,arg,0.9620724063716036
pp,GPTZero,0.9,res,0.9769607914706235
pp,GPTZero,1.0,arg,0.9061774414699523
pp,GPTZero,1.0,res,0.9534567107296485
pp,GPTZero,1.1,arg,0.9244195337434682
pp,GPTZero,1.1,res,0.9947211643097903
pp,GPTZero,1.2,arg,0.9598366781480816
pp,GPTZero,1.2,res,0.9526072549215755
pp,GPTZero,1.3,arg,0.9506071272621636
pp,GPTZero,1.3,res,0.9873012396338696
pp,GPTZero,1.4,arg,0.9213865495077782
pp,GPTZero,1.4,res,0.963364884079939
pp,GPTZero,1.5,arg,0.9435463461334885
pp,GPTZero,1.5,res,0.9689024245281708
pp,GPTZero,1.6,arg,0.9470314960494501
pp,GPTZero,1.6,res,0.9887196487782592
pp,GPTZero,1.7,arg,0.8884999960586561
pp,GPTZero,1.7,res,0.9524499033396989
pp,GPTZero,1.8,arg,0.890125084318053
pp,GPTZero,1.8,res,0.943430538250168
pp,GPTZero,1.9,arg,0.8513439908836767
pp,GPTZero,1.9,res,0.9275589448650152
pp,GPTZero,2.0,arg,0.933664350135999
pp,GPTZero,2.0,res,0.9955446610796045
pp,Radar,0.0,arg,0.9760769724845886
pp,Radar,0.0,res,0.9788159132003784
pp,Radar,0.1,arg,0.9772326827049256
pp,Radar,0.1,res,0.9774334311485291
pp,Radar,0.2,arg,0.9880494713783264
pp,Radar,0.2,res,0.9677098631858826
pp,Radar,0.3,arg,0.9771290063858032
pp,Radar,0.3,res,0.9474691867828369
pp,Radar,0.4,arg,0.9783385396003723
pp,Radar,0.4,res,0.9528745651245117
pp,Radar,0.5,arg,0.9730693936347962
pp,Radar,0.5,res,0.9726869702339173
pp,Radar,0.6,arg,0.9710368871688843
pp,Radar,0.6,res,0.9518786311149597
pp,Radar,0.7,arg,0.9852319359779356
pp,Radar,0.7,res,0.9528986215591431
pp,Radar,0.8,arg,0.9797276139259339
pp,Radar,0.8,res,0.9781324148178101
pp,Radar,0.9,arg,0.9767016887664794
pp,Radar,0.9,res,0.9369635701179504
pp,Radar,1.0,arg,0.9593140363693238
pp,Radar,1.0,res,0.901246190071106
pp,Radar,1.1,arg,0.9738467693328857
pp,Radar,1.1,res,0.9173240303993225
pp,Radar,1.2,arg,0.9717771410942078
pp,Radar,1.2,res,0.9403651237487793
pp,Radar,1.3,arg,0.9776745438575745
pp,Radar,1.3,res,0.9512744545936584
pp,Radar,1.4,arg,0.9587901949882507
pp,Radar,1.4,res,0.8838523983955383
pp,Radar,1.5,arg,0.9364692211151123
pp,Radar,1.5,res,0.9493427038192749
pp,Radar,1.6,arg,0.9780465245246888
pp,Radar,1.6,res,0.9421745300292969
pp,Radar,1.7,arg,0.9645673871040344
pp,Radar,1.7,res,0.9305797696113587
pp,Radar,1.8,arg,0.9636553764343262
pp,Radar,1.8,res,0.9566915392875671
pp,Radar,1.9,arg,0.9788605332374573
pp,Radar,1.9,res,0.9175283789634705
pp,Radar,2.0,arg,0.9646958112716675
pp,Radar,2.0,res,0.9533344149589539
