detector,text_id,score
GPTZero,def_p_14,0.9977558223168834
GPTZero,def_p_17,0.9977558223168834
GPTZero,def_p_11,0.982251886615535
GPTZero,def_p_13,0.9977558223168834
GPTZero,def_p_16,0.9977558223168834
GPTZero,def_p_1,0.9973955738343495
GPTZero,def_p_12,0.9973955738343495
GPTZero,def_p_15,0.982932157729323
GPTZero,def_p_10,0.9973955738343495
GPTZero,def_p_0,0.9802844144278466
GPTZero,def_p_18,0.8234289035940133
GPTZero,def_p_2,0.9092670190856504
GPTZero,def_p_3,0.9977558223168834
GPTZero,def_p_19,0.9825825322814177
GPTZero,def_p_6,0.9106245014028447
GPTZero,def_p_5,0.9977558223168834
GPTZero,def_p_9,0.982932157729323
GPTZero,def_p_4,0.9973955738343495
GPTZero,def_p_8,0.915630600561598
GPTZero,par_p_0,0.8223915592028135
GPTZero,def_p_7,0.9977558223168834
GPTZero,par_p_1,0.8288928167075286
GPTZero,par_p_11,0.8596152156724941
GPTZero,par_p_10,0.6942951482046156
GPTZero,par_p_13,0.8234289035940133
GPTZero,par_p_14,0.8235569534490451
GPTZero,par_p_15,0.8307331404026007
GPTZero,par_p_17,0.47082849961330236
GPTZero,par_p_12,0.8234289035940133
GPTZero,par_p_16,0.9109374343376851
GPTZero,par_p_19,0.7845924722447875
GPTZero,par_p_2,0.8288928167075286
GPTZero,par_p_18,0.47128386028653235
GPTZero,par_p_3,0.982932157729323
GPTZero,par_p_4,0.8235569534490451
GPTZero,par_p_6,0.7744087988021304
GPTZero,par_p_5,0.9802844144278466
GPTZero,par_p_7,0.8234289035940133
GPTZero,par_p_8,0.10115518494434456
GPTZero,quil_p_0,0.07484666256767092
GPTZero,quil_p_1,0.16925712761482667
GPTZero,par_p_9,0.7737826085224376
GPTZero,quil_p_10,0.44539351824541945
GPTZero,quil_p_11,0.9106245014028447
GPTZero,quil_p_13,0.7236238825849749
GPTZero,quil_p_15,0.40935672514619886
GPTZero,quil_p_14,0.4300352763312616
GPTZero,quil_p_12,0.7384433018457488
GPTZero,quil_p_16,0.43405809873259527
