detector,text_id,score
Radar,ar_res_p_13,0.976292073726654
Radar,ar_res_p_15,0.9832783341407776
Radar,ar_res_p_10,0.3743538558483124
Radar,ar_res_p_12,0.7071024775505066
Radar,ar_res_p_1,0.976325273513794
Radar,ar_res_p_11,0.9769279956817627
Radar,ar_res_p_14,0.671984076499939
Radar,ar_res_p_0,0.905308187007904
Radar,ar_res_p_17,0.9835820198059082
Radar,ar_res_p_16,0.965848982334137
Radar,ar_res_p_9,0.9829589128494263
Radar,ar_res_p_19,0.8526401519775391
Radar,ar_res_p_4,0.6977601647377014
Radar,ar_res_p_18,0.9703086018562317
Radar,ar_res_p_7,0.9587364196777344
Radar,ar_res_p_3,0.9922465085983276
Radar,ar_res_p_5,0.9485631585121155
Radar,ar_res_p_8,0.9698818922042847
Radar,ar_res_p_2,0.6064138412475586
Radar,ar_res_p_6,0.9668053984642029
Radar,def_p_1,0.9874230623245239
Radar,def_p_11,0.9793117642402649
Radar,def_p_0,0.9855750799179077
Radar,def_p_15,0.9781188368797302
Radar,def_p_10,0.9735509753227234
Radar,def_p_14,0.8890491724014282
Radar,def_p_12,0.964874804019928
Radar,def_p_16,0.9903183579444885
Radar,def_p_13,0.9742463231086731
Radar,def_p_17,0.9893447160720825
Radar,def_p_2,0.973565936088562
Radar,def_p_18,0.9676729440689087
Radar,def_p_19,0.9649989604949951
Radar,def_p_3,0.9837771654129028
Radar,def_p_7,0.9645201563835144
Radar,def_p_4,0.9695823192596436
Radar,def_p_6,0.9590340256690979
Radar,def_p_5,0.9654262661933899
Radar,def_p_8,0.990863025188446
Radar,def_p_9,0.9657627940177917
Radar,ja_res_p_1,0.9864941239356995
Radar,ja_res_p_11,0.790615439414978
Radar,ja_res_p_0,0.7778521776199341
Radar,ja_res_p_12,0.7379098534584045
Radar,ja_res_p_10,0.7631180882453918
Radar,ja_res_p_13,0.9702777862548828
Radar,ja_res_p_14,0.8874009847640991
Radar,ja_res_p_16,0.8153336048126221
Radar,ja_res_p_15,0.39840492606163025
Radar,ja_res_p_17,0.7834025621414185
Radar,ja_res_p_19,0.8789482712745667
Radar,ja_res_p_18,0.34997856616973877
Radar,ja_res_p_4,0.8659557700157166
Radar,ja_res_p_7,0.32576340436935425
Radar,ja_res_p_3,0.972585141658783
Radar,ja_res_p_5,0.6090010404586792
Radar,ja_res_p_2,0.934516429901123
Radar,ja_res_p_6,0.9689958691596985
Radar,ja_res_p_9,0.7079452872276306
Radar,ja_res_p_8,0.8939697742462158
Radar,ru_res_p_0,0.8123046159744263
Radar,ru_res_p_11,0.783762514591217
Radar,ru_res_p_1,0.8640292882919312
Radar,ru_res_p_10,0.7103437185287476
Radar,ru_res_p_14,0.5817286372184753
Radar,ru_res_p_13,0.9582511782646179
Radar,ru_res_p_15,0.38459259271621704
Radar,ru_res_p_12,0.6077335476875305
Radar,ru_res_p_16,0.9805244207382202
Radar,ru_res_p_17,0.9943479299545288
Radar,ru_res_p_2,0.9845036268234253
Radar,ru_res_p_18,0.6525092124938965
Radar,ru_res_p_19,0.8875874280929565
Radar,ru_res_p_3,0.8418722152709961
Radar,ru_res_p_5,0.9010365009307861
Radar,ru_res_p_4,0.8079856634140015
Radar,ru_res_p_6,0.8460794687271118
Radar,ru_res_p_7,0.7926251292228699
Radar,ru_res_p_8,0.8267301321029663
Radar,ru_res_p_9,0.9222846627235413
Radar,zh_res_p_1,0.9837827682495117
Radar,zh_res_p_0,0.861095130443573
Radar,zh_res_p_10,0.8599355816841125
Radar,zh_res_p_11,0.9006829857826233
Radar,zh_res_p_12,0.7685724496841431
Radar,zh_res_p_13,0.7523512244224548
Radar,zh_res_p_16,0.8854759335517883
Radar,zh_res_p_14,0.8335615396499634
Radar,zh_res_p_15,0.9409660696983337
Radar,zh_res_p_17,0.7915656566619873
Radar,zh_res_p_18,0.45351746678352356
Radar,zh_res_p_19,0.9203317761421204
Radar,zh_res_p_2,0.9457039833068848
Radar,zh_res_p_4,0.8929089903831482
Radar,zh_res_p_3,0.7828562259674072
Radar,zh_res_p_5,0.9322713017463684
Radar,zh_res_p_7,0.6383474469184875
Radar,zh_res_p_6,0.8111592531204224
Radar,zh_res_p_8,0.9595807194709778
Radar,zh_res_p_9,0.7161641716957092
GPT2Detector,ar_res_p_11,0.003206789493560791
GPT2Detector,ar_res_p_13,0.024758517742156982
GPT2Detector,ar_res_p_14,0.9994120597839355
GPT2Detector,ar_res_p_15,0.9998012185096741
GPT2Detector,ar_res_p_12,0.8375266194343567
GPT2Detector,ar_res_p_1,0.058212339878082275
GPT2Detector,ar_res_p_17,0.9998094439506531
GPT2Detector,ar_res_p_0,0.00020450353622436523
GPT2Detector,ar_res_p_16,0.0003743171691894531
GPT2Detector,ar_res_p_10,0.9893585443496704
GPT2Detector,ar_res_p_18,0.9688342809677124
GPT2Detector,ar_res_p_19,0.00026279687881469727
GPT2Detector,ar_res_p_3,0.16036421060562134
GPT2Detector,ar_res_p_4,0.002330601215362549
GPT2Detector,ar_res_p_5,0.04089254140853882
GPT2Detector,ar_res_p_2,0.0009996294975280762
GPT2Detector,ar_res_p_6,0.011890590190887451
GPT2Detector,ar_res_p_9,0.9997891783714294
GPT2Detector,ar_res_p_7,0.9890308976173401
GPT2Detector,ar_res_p_8,0.14227193593978882
GPT2Detector,def_p_0,0.9998165965080261
GPT2Detector,def_p_1,0.9996094107627869
GPT2Detector,def_p_12,0.9998130202293396
GPT2Detector,def_p_11,0.9997974038124084
GPT2Detector,def_p_10,0.9998106360435486
GPT2Detector,def_p_18,0.999794065952301
GPT2Detector,def_p_13,0.9998218417167664
GPT2Detector,def_p_14,0.9998146891593933
GPT2Detector,def_p_19,0.9984757304191589
GPT2Detector,def_p_15,0.9997853636741638
GPT2Detector,def_p_17,0.9824897050857544
GPT2Detector,def_p_16,0.9998252987861633
GPT2Detector,def_p_5,0.9998260140419006
GPT2Detector,def_p_8,0.9994348883628845
GPT2Detector,def_p_2,0.9998267292976379
GPT2Detector,def_p_3,0.1552187204360962
GPT2Detector,def_p_4,0.9997993111610413
GPT2Detector,def_p_6,0.9998071789741516
GPT2Detector,def_p_7,0.9998188614845276
GPT2Detector,ja_res_p_0,0.15250176191329956
GPT2Detector,ja_res_p_1,0.8479164838790894
GPT2Detector,def_p_9,0.9997865557670593
GPT2Detector,ja_res_p_10,0.20325809717178345
GPT2Detector,ja_res_p_11,0.9829410910606384
GPT2Detector,ja_res_p_12,0.0007824897766113281
GPT2Detector,ja_res_p_13,0.9782886505126953
GPT2Detector,ja_res_p_14,0.9996427297592163
GPT2Detector,ja_res_p_15,0.9979628324508667
GPT2Detector,ja_res_p_16,0.9925946593284607
GPT2Detector,ja_res_p_2,0.9984267950057983
GPT2Detector,ja_res_p_17,0.000269472599029541
GPT2Detector,ja_res_p_18,0.999776303768158
GPT2Detector,ja_res_p_3,0.0058980584144592285
GPT2Detector,ja_res_p_19,0.3689088225364685
GPT2Detector,ja_res_p_9,0.9998003840446472
GPT2Detector,ja_res_p_4,0.9915028810501099
GPT2Detector,ru_res_p_10,0.9997455477714539
GPT2Detector,ja_res_p_5,0.9994064569473267
GPT2Detector,ja_res_p_8,0.008799970149993896
GPT2Detector,ja_res_p_6,0.19261354207992554
GPT2Detector,ja_res_p_7,0.9997857213020325
GPT2Detector,ru_res_p_1,0.9998231530189514
GPT2Detector,ru_res_p_0,0.9951465725898743
GPT2Detector,ru_res_p_11,0.0023716092109680176
GPT2Detector,ru_res_p_12,0.999664306640625
GPT2Detector,ru_res_p_14,0.999444305896759
GPT2Detector,ru_res_p_13,0.1346760392189026
GPT2Detector,ru_res_p_15,0.9997956156730652
GPT2Detector,ru_res_p_16,0.9998210072517395
GPT2Detector,ru_res_p_17,0.9995480179786682
GPT2Detector,ru_res_p_18,0.9998001456260681
GPT2Detector,ru_res_p_4,0.00022870302200317383
GPT2Detector,ru_res_p_2,0.04948979616165161
GPT2Detector,ru_res_p_19,0.36228787899017334
GPT2Detector,ru_res_p_5,0.9997977614402771
GPT2Detector,ru_res_p_3,0.00030040740966796875
GPT2Detector,ru_res_p_6,0.14098137617111206
GPT2Detector,ru_res_p_7,0.9998008608818054
GPT2Detector,zh_res_p_1,0.9998134970664978
GPT2Detector,ru_res_p_8,0.835345983505249
GPT2Detector,ru_res_p_9,0.0007343888282775879
GPT2Detector,zh_res_p_12,0.7125083804130554
GPT2Detector,zh_res_p_0,0.00018018484115600586
GPT2Detector,zh_res_p_11,0.9718809723854065
GPT2Detector,zh_res_p_10,0.5775737166404724
GPT2Detector,zh_res_p_13,0.00019019842147827148
GPT2Detector,zh_res_p_16,0.0013660788536071777
GPT2Detector,zh_res_p_19,0.6401727199554443
GPT2Detector,zh_res_p_14,0.09752440452575684
GPT2Detector,zh_res_p_15,0.9998180270195007
GPT2Detector,zh_res_p_18,0.41521602869033813
GPT2Detector,zh_res_p_17,0.9995430707931519
GPT2Detector,zh_res_p_2,0.1246337890625
GPT2Detector,zh_res_p_6,0.9292653799057007
GPT2Detector,zh_res_p_5,0.9997796416282654
GPT2Detector,zh_res_p_4,0.0002600550651550293
GPT2Detector,zh_res_p_3,0.00017899274826049805
GPT2Detector,zh_res_p_7,0.9835448861122131
GPT2Detector,zh_res_p_9,0.00019055604934692383
GPT2Detector,zh_res_p_8,0.00019305944442749023
GPTZero,ar_res_p_15,0.982251886615535
GPTZero,ar_res_p_10,0.982932157729323
GPTZero,ar_res_p_1,0.9826080317224812
GPTZero,ar_res_p_14,0.9851100744681245
GPTZero,ar_res_p_12,0.4444388531746531
GPTZero,ar_res_p_16,0.44482845278412697
GPTZero,ar_res_p_17,0.8235569534490451
GPTZero,ar_res_p_0,0.17972576021770018
GPTZero,ar_res_p_11,0.8235569534490451
GPTZero,ar_res_p_13,0.7756323535440496
GPTZero,ar_res_p_18,0.7756323535440496
GPTZero,ar_res_p_19,0.9977775103937533
GPTZero,ar_res_p_5,0.9851100744681245
GPTZero,ar_res_p_6,0.9977558223168834
GPTZero,ar_res_p_7,0.7236238825849749
GPTZero,ar_res_p_4,0.7236238825849749
GPTZero,ar_res_p_2,0.7236238825849749
GPTZero,ar_res_p_3,0.982932157729323
GPTZero,ar_res_p_8,0.8307331404026007
GPTZero,ar_res_p_9,0.9977558223168834
GPTZero,def_p_1,0.9977558223168834
GPTZero,def_p_0,0.9977558223168834
GPTZero,def_p_10,0.9977775103937533
GPTZero,def_p_13,1.0
GPTZero,def_p_16,0.9826080317224812
GPTZero,def_p_17,0.9977558223168834
GPTZero,def_p_15,0.9092670190856504
GPTZero,def_p_12,0.9977558223168834
GPTZero,def_p_11,0.9973955738343495
GPTZero,def_p_18,0.9826080317224812
GPTZero,def_p_14,0.9977558223168834
GPTZero,def_p_2,1.0
GPTZero,def_p_3,0.9977558223168834
GPTZero,def_p_19,0.9820821274401206
GPTZero,def_p_4,0.9977558223168834
GPTZero,ja_res_p_0,0.17972576021770018
GPTZero,def_p_7,1.0
GPTZero,def_p_6,0.9977775103937533
GPTZero,def_p_5,0.9973955738343495
GPTZero,def_p_8,0.9977558223168834
GPTZero,ja_res_p_10,0.9851100744681245
GPTZero,ja_res_p_1,0.010858500169664064
GPTZero,def_p_9,0.9973955738343495
GPTZero,ja_res_p_12,0.05362152918762895
GPTZero,ja_res_p_11,0.17972576021770018
GPTZero,ja_res_p_13,0.07488156391803412
GPTZero,ja_res_p_14,0.9851100744681245
GPTZero,ja_res_p_15,0.44482845278412697
GPTZero,ja_res_p_16,0.8238255803362468
GPTZero,ja_res_p_19,0.9851100744681245
GPTZero,ja_res_p_17,1.0
GPTZero,ja_res_p_2,0.17972576021770018
GPTZero,ja_res_p_4,0.010858500169664064
GPTZero,ja_res_p_3,0.47123384669853075
GPTZero,ja_res_p_18,0.022899958772937705
GPTZero,ja_res_p_5,0.03047638202976927
GPTZero,ja_res_p_6,0.013829223798034484
GPTZero,ja_res_p_8,0.010858500169664064
GPTZero,ja_res_p_7,0.8238255803362468
GPTZero,ru_res_p_0,0.9109374343376851
GPTZero,ja_res_p_9,0.4448765242225371
GPTZero,ru_res_p_1,0.07488156391803412
GPTZero,ru_res_p_11,1.0
GPTZero,ru_res_p_10,0.915630600561598
GPTZero,ru_res_p_12,0.43362275717895116
GPTZero,ru_res_p_13,0.0228881199367881
GPTZero,ru_res_p_14,0.9977558223168834
GPTZero,ru_res_p_16,0.9851100744681245
GPTZero,ru_res_p_15,0.982932157729323
GPTZero,ru_res_p_18,0.7758748777007459
GPTZero,ru_res_p_17,0.9977558223168834
GPTZero,ru_res_p_4,0.3625445674610621
GPTZero,ru_res_p_19,0.915630600561598
GPTZero,ru_res_p_6,0.4448765242225371
GPTZero,ru_res_p_3,0.17972576021770018
GPTZero,ru_res_p_2,0.7235221843003414
GPTZero,ru_res_p_5,0.4444388531746531
GPTZero,ru_res_p_7,0.03047638202976927
GPTZero,ru_res_p_8,0.03612520340767685
GPTZero,ru_res_p_9,0.915630600561598
GPTZero,zh_res_p_0,0.46364657431673534
GPTZero,zh_res_p_1,0.7236238825849749
GPTZero,zh_res_p_10,0.9092670190856504
GPTZero,zh_res_p_13,0.010830116942220172
GPTZero,zh_res_p_11,0.44482845278412697
GPTZero,zh_res_p_14,0.9106245014028447
GPTZero,zh_res_p_15,0.915630600561598
GPTZero,zh_res_p_16,0.36295427901524036
GPTZero,zh_res_p_12,0.23434542945579534
GPTZero,zh_res_p_17,0.915630600561598
GPTZero,zh_res_p_19,0.47128386028653235
GPTZero,zh_res_p_18,0.8235569534490451
GPTZero,zh_res_p_3,0.030492492213868388
GPTZero,zh_res_p_2,0.47128386028653235
GPTZero,zh_res_p_5,0.23428450668829462
GPTZero,zh_res_p_4,0.7236238825849749
GPTZero,zh_res_p_7,0.05362152918762895
GPTZero,zh_res_p_6,0.36295427901524036
GPTZero,zh_res_p_8,0.006548026829384868
GPTZero,zh_res_p_9,0.984826669620113
CopyLeaks,ar_res_p_13,0.0
CopyLeaks,ar_res_p_15,1.0
CopyLeaks,ar_res_p_0,0.0
CopyLeaks,ar_res_p_1,1.0
CopyLeaks,ar_res_p_14,1.0
CopyLeaks,ar_res_p_11,0.0
CopyLeaks,ar_res_p_18,1.0
CopyLeaks,ar_res_p_17,1.0
CopyLeaks,ar_res_p_10,0.0
CopyLeaks,ar_res_p_12,1.0
CopyLeaks,ar_res_p_16,0.0
CopyLeaks,ar_res_p_2,0.0
CopyLeaks,ar_res_p_4,0.0
CopyLeaks,ar_res_p_6,0.0
CopyLeaks,ar_res_p_3,1.0
CopyLeaks,ar_res_p_19,1.0
CopyLeaks,ar_res_p_7,1.0
CopyLeaks,ar_res_p_8,1.0
CopyLeaks,ar_res_p_9,1.0
CopyLeaks,ar_res_p_5,1.0
CopyLeaks,def_p_0,1.0
CopyLeaks,def_p_1,1.0
CopyLeaks,def_p_10,1.0
CopyLeaks,def_p_12,1.0
CopyLeaks,def_p_13,1.0
CopyLeaks,def_p_19,1.0
CopyLeaks,def_p_11,1.0
CopyLeaks,def_p_18,1.0
CopyLeaks,def_p_2,1.0
CopyLeaks,def_p_14,1.0
CopyLeaks,def_p_15,1.0
CopyLeaks,def_p_17,1.0
CopyLeaks,def_p_16,1.0
CopyLeaks,def_p_7,1.0
CopyLeaks,ja_res_p_0,0.0
CopyLeaks,def_p_3,1.0
CopyLeaks,ja_res_p_1,0.0
